age,gender,marital_status,dependents,education,employment_type,city_tier,residence_type,monthly_income,cibil_score,existing_loans_count,credit_history_length_years,bank_balance,loan_amount,loan_term_months,loan_purpose,debt_to_income_ratio,loan_approved
36,Male,Married,2,Not Graduate,Self-Employed,Tier 2,Rented,46000,719,2,11.6,104000,196000,36,Business Expansion,0.142,Approved
46,Female,Single,4,Graduate,Salaried,Tier 2,Rented,52000,730,0,15.8,285000,216000,60,Vehicle,0.092,Approved
38,Female,Married,1,Graduate,Salaried,Tier 1,Living with Parents,50000,589,1,6.3,156000,164000,24,Medical,0.154,Approved
38,Female,Married,1,Not Graduate,Self-Employed,Tier 3,Owned,100000,676,0,13.7,559000,350000,60,Wedding,0.078,Approved
21,Male,Single,2,Graduate,Business Owner,Tier 3,Rented,42000,631,0,0.0,77000,50000,12,Business Expansion,0.106,Rejected
27,Male,Married,1,Not Graduate,Salaried,Tier 2,Rented,53000,716,0,5.1,145000,135000,60,Vehicle,0.057,Approved
53,Male,Married,0,Graduate,Salaried,Tier 2,Living with Parents,65000,685,0,17.7,51000,122000,120,Business Expansion,0.027,Approved
29,Female,Single,1,Not Graduate,Unemployed,Tier 2,Rented,12000,491,2,3.5,36000,570000,60,Home Renovation,1.057,Rejected
46,Female,Married,1,Graduate,Self-Employed,Tier 1,Rented,32000,710,1,9.3,16000,253000,180,Medical,0.095,Approved
29,Female,Single,1,Not Graduate,Salaried,Tier 1,Owned,32000,601,0,4.9,72000,195000,60,Debt Consolidation,0.136,Rejected
32,Male,Married,2,Not Graduate,Self-Employed,Tier 2,Rented,24000,643,2,5.1,106000,194000,84,Business Expansion,0.143,Rejected
39,Female,Married,2,Graduate,Unemployed,Tier 3,Living with Parents,8000,556,2,10.0,36000,96000,48,Home Renovation,0.316,Rejected
35,Female,Married,2,Not Graduate,Business Owner,Tier 1,Living with Parents,73000,717,2,5.0,208000,496000,36,Debt Consolidation,0.226,Approved
38,Male,Married,2,Not Graduate,Business Owner,Tier 2,Rented,99000,724,0,7.1,57000,178000,36,Travel,0.06,Approved
27,Male,Married,1,Graduate,Salaried,Tier 3,Owned,48000,619,2,3.4,59000,314000,24,Wedding,0.308,Approved
24,Male,Married,1,Not Graduate,Business Owner,Tier 1,Living with Parents,92000,717,1,1.2,168000,148000,36,Home Renovation,0.053,Approved
27,Male,Single,1,Graduate,Self-Employed,Tier 1,Owned,31000,642,0,2.6,18000,212000,48,Debt Consolidation,0.18,Approved
30,Male,Married,0,Not Graduate,Business Owner,Tier 3,Owned,53000,677,3,2.8,90000,127000,36,Home Renovation,0.08,Approved
32,Male,Married,2,Graduate,Salaried,Tier 1,Rented,67000,635,2,3.8,226000,189000,60,Vehicle,0.063,Approved
44,Male,Single,1,Graduate,Salaried,Tier 1,Owned,126000,685,1,8.5,150000,410000,60,Travel,0.072,Approved
35,Female,Single,1,Graduate,Salaried,Tier 2,Living with Parents,48000,741,0,9.7,253000,234000,84,Home Renovation,0.086,Approved
39,Male,Married,2,Graduate,Salaried,Tier 2,Rented,104000,700,0,7.0,86000,275000,48,Wedding,0.07,Approved
36,Male,Married,1,Not Graduate,Self-Employed,Tier 3,Rented,38000,682,0,12.4,181000,228000,84,Vehicle,0.106,Approved
24,Male,Single,1,Not Graduate,Unemployed,Tier 2,Rented,13000,531,1,2.3,38000,585000,180,Debt Consolidation,0.54,Rejected
35,Male,Single,0,Graduate,Self-Employed,Tier 2,Rented,84000,699,3,11.1,325000,135000,48,Travel,0.042,Approved
36,Female,Single,1,Graduate,Business Owner,Tier 2,Rented,58000,680,3,7.7,183000,202000,60,Home Renovation,0.077,Approved
41,Male,Married,2,Not Graduate,Salaried,Tier 3,Owned,14000,665,1,6.7,40000,246000,84,Home Renovation,0.31,Rejected
25,Male,Single,0,Graduate,Business Owner,Tier 1,Rented,36000,713,1,1.4,153000,121000,60,Education,0.075,Approved
21,Female,Married,0,Graduate,Business Owner,Tier 1,Owned,272000,669,2,0.0,476000,237000,24,Debt Consolidation,0.041,Approved
36,Male,Single,0,Graduate,Self-Employed,Tier 3,Owned,37000,624,2,12.8,118000,224000,36,Business Expansion,0.201,Approved
38,Female,Married,2,Graduate,Salaried,Tier 3,Rented,47000,700,1,6.9,232000,235000,12,Education,0.444,Approved
33,Male,Single,1,Graduate,Self-Employed,Tier 1,Owned,31000,641,0,9.8,42000,236000,84,Vehicle,0.134,Approved
35,Male,Married,1,Not Graduate,Self-Employed,Tier 1,Living with Parents,67000,633,0,9.7,68000,147000,36,Travel,0.073,Rejected
42,Female,Single,3,Graduate,Salaried,Tier 2,Rented,83000,664,0,14.8,317000,83000,120,Business Expansion,0.014,Approved
30,Female,Married,3,Not Graduate,Business Owner,Tier 1,Living with Parents,22000,683,1,6.5,128000,245000,84,Wedding,0.197,Rejected
32,Female,Single,2,Graduate,Unemployed,Tier 2,Owned,11000,526,0,3.7,31000,129000,84,Home Renovation,0.207,Rejected
35,Male,Married,1,Graduate,Salaried,Tier 1,Living with Parents,56000,631,1,9.3,279000,208000,180,Business Expansion,0.045,Rejected
24,Male,Married,2,Not Graduate,Self-Employed,Tier 1,Owned,66000,642,0,1.8,204000,140000,48,Debt Consolidation,0.056,Approved
33,Female,Single,0,Graduate,Self-Employed,Tier 2,Owned,141000,675,4,9.6,252000,90000,24,Debt Consolidation,0.03,Approved
34,Male,Married,1,Graduate,Self-Employed,Tier 3,Owned,31000,617,0,7.2,98000,273000,240,Business Expansion,0.097,Approved
49,Male,Married,0,Not Graduate,Self-Employed,Tier 2,Rented,34000,756,0,17.0,100000,334000,240,Business Expansion,0.108,Approved
32,Male,Single,2,Graduate,Business Owner,Tier 2,Owned,46000,639,0,7.1,87000,426000,36,Medical,0.308,Approved
36,Male,Married,1,Not Graduate,Salaried,Tier 3,Rented,118000,633,1,9.8,288000,168000,84,Vehicle,0.025,Approved
43,Female,Single,1,Graduate,Salaried,Tier 2,Owned,44000,710,2,11.9,117000,225000,12,Travel,0.454,Approved
27,Male,Married,1,Not Graduate,Business Owner,Tier 2,Owned,69000,690,0,2.4,361000,270000,12,Travel,0.348,Approved
47,Female,Married,0,Graduate,Self-Employed,Tier 2,Rented,12000,711,3,11.7,26000,405000,84,Business Expansion,0.596,Rejected
50,Male,Single,2,Graduate,Business Owner,Tier 1,Owned,67000,752,0,15.9,374000,77000,36,Vehicle,0.038,Approved
34,Male,Married,0,Not Graduate,Salaried,Tier 2,Rented,36000,697,3,8.7,21000,91000,180,Travel,0.03,Approved
30,Male,Married,1,Not Graduate,Salaried,Tier 2,Rented,42000,642,2,5.2,51000,505000,60,Home Renovation,0.267,Rejected
49,Male,Married,1,Graduate,Unemployed,Tier 1,Living with Parents,11000,610,1,21.7,7000,80000,120,Vehicle,0.104,Rejected
42,Female,Married,3,Graduate,Salaried,Tier 1,Owned,25000,645,0,13.5,118000,381000,24,Medical,0.717,Rejected
35,Female,Married,1,Graduate,Business Owner,Tier 1,Living with Parents,54000,674,2,7.1,64000,488000,180,Debt Consolidation,0.108,Approved
47,Female,Married,2,Not Graduate,Business Owner,Tier 2,Rented,115000,649,2,15.6,421000,356000,24,Business Expansion,0.146,Approved
46,Female,Single,0,Not Graduate,Self-Employed,Tier 1,Living with Parents,59000,663,0,12.9,282000,120000,60,Business Expansion,0.045,Approved
31,Female,Married,0,Not Graduate,Salaried,Tier 1,Owned,19000,707,2,3.2,61000,129000,60,Debt Consolidation,0.151,Approved
37,Female,Married,1,Graduate,Self-Employed,Tier 3,Rented,19000,702,1,7.5,20000,212000,12,Vehicle,0.991,Rejected
40,Male,Married,0,Not Graduate,Business Owner,Tier 2,Living with Parents,59000,703,0,10.8,301000,628000,240,Travel,0.117,Approved
35,Male,Married,0,Graduate,Salaried,Tier 1,Owned,28000,735,1,6.3,46000,625000,36,Wedding,0.741,Approved
22,Male,Married,1,Graduate,Salaried,Tier 2,Rented,46000,647,0,0.7,47000,263000,84,Business Expansion,0.101,Approved
26,Male,Married,1,Graduate,Salaried,Tier 1,Living with Parents,100000,658,0,4.1,472000,84000,60,Business Expansion,0.019,Approved
22,Male,Single,1,Not Graduate,Salaried,Tier 2,Rented,52000,571,0,0.5,34000,242000,12,Medical,0.413,Rejected
39,Male,Single,0,Not Graduate,Business Owner,Tier 2,Owned,29000,668,2,5.7,113000,194000,180,Business Expansion,0.08,Rejected
24,Female,Married,3,Graduate,Business Owner,Tier 2,Rented,55000,676,0,2.5,155000,223000,36,Wedding,0.135,Approved
36,Male,Married,3,Not Graduate,Unemployed,Tier 2,Owned,15000,612,0,9.7,43000,81000,36,Education,0.179,Rejected
51,Male,Single,1,Not Graduate,Self-Employed,Tier 1,Living with Parents,37000,807,1,9.1,182000,254000,12,Education,0.61,Rejected
47,Male,Married,5,Graduate,Business Owner,Tier 2,Owned,28000,686,0,15.6,21000,89000,36,Home Renovation,0.106,Approved
